posx,posy,posz,tick,turn
42.0,0.7511,162.0,,
42.0,0.7511,162.0,1,1
42.0,0.7511,162.0,,
42.0,0.7511,162.0,1,2
42.0,0.7511,162.0,,
42.0,0.7511,162.0,1,3
42.0,0.7511,162.0,,
42.0,0.7511,162.0,1,4
42.0,0.7511,162.0,,
42.0,0.7511,162.0,1,5
42.0,0.7511,162.0,,
42.0,0.7511,162.0,1,6
42.0,0.7511,162.0,,
42.0,0.7511,162.0,1,7
42.1581,0.7511,161.52568,,
42.1581,0.7511,161.52568,1,8
42.956497,0.75110006,161.47566,,
42.956497,0.75110006,161.47566,1,9
43.75489,0.75110006,161.42564,,
43.75489,0.75110006,161.42564,1,10
44.653084,0.75110006,161.36937,,
44.653084,0.75110006,161.36937,1,11
45.45148,0.75110006,161.31935,,
45.45148,0.75110006,161.31935,1,12
45.850677,0.7511,161.29434,,
45.850677,0.7511,161.29434,1,13
45.850677,0.7511,161.29434,,
45.850677,0.7511,161.29434,1,14
45.850677,0.7511,161.29434,,
45.850677,0.7511,161.29434,1,15
45.850677,0.7511,161.29434,,
45.850677,0.7511,161.29434,1,16
45.850677,0.7511,161.29434,,
45.850677,0.7511,161.29434,1,17
45.850677,0.7511,161.29434,,
45.850677,0.7511,161.29434,1,18
45.850677,0.7511,161.29434,,
45.850677,0.7511,161.29434,1,19
45.850677,0.7511,161.29434,,
45.850677,0.7511,161.29434,1,20
45.850677,0.7511,161.29434,,
45.850677,0.7511,161.29434,1,21
45.850677,0.7511,161.29434,,
45.850677,0.7511,161.29434,1,22
45.850677,0.7511,161.29434,,
45.850677,0.7511,161.29434,1,23
46.050667,0.7511,161.29434,,
46.050667,0.7511,161.29434,1,24
46.050667,0.7511,161.29434,,
46.050667,0.7511,161.29434,1,25
46.293518,0.75110006,161.95084,,
46.293518,0.75110006,161.95084,1,26
46.70983,0.7511,163.07625,,
46.70983,0.7511,163.07625,1,27
46.70983,0.7511,163.07625,,
46.70983,0.7511,163.07625,1,28
46.70983,0.7511,163.07625,,
46.70983,0.7511,163.07625,1,29
46.90982,0.7511,163.07625,,
46.90982,0.7511,163.07625,1,30
47.280193,0.75110006,163.6702,,
47.280193,0.75110006,163.6702,1,31
47.70348,0.7511,164.34898,,
47.70348,0.7511,164.34898,1,32
47.91072,0.7511,164.80399,,
47.91072,0.7511,164.80399,1,33
47.91072,0.7511,164.80399,,
47.91072,0.7511,164.80399,1,34
47.91072,0.7511,164.80399,,
47.91072,0.7511,164.80399,1,35
47.91072,0.7511,164.80399,,
47.91072,0.7511,164.80399,1,36
47.91072,0.7511,164.80399,,
47.91072,0.7511,164.80399,1,37
47.91072,0.7511,164.80399,,
47.91072,0.7511,164.80399,1,38
47.91072,0.7511,164.80399,,
47.91072,0.7511,164.80399,1,39
47.91072,0.7511,164.80399,,
47.91072,0.7511,164.80399,1,40
47.91072,0.7511,164.80399,,
47.91072,0.7511,164.80399,1,41
47.91072,0.7511,164.80399,,
47.91072,0.7511,164.80399,1,42
48.11071,0.7511,164.80399,,
48.11071,0.7511,164.80399,1,43
48.03315,0.7511,164.74088,,
48.03315,0.7511,164.74088,1,44
48.797447,0.75110006,164.97705,,
48.797447,0.75110006,164.97705,1,45
49.079945,0.7511,164.58171,,
49.079945,0.7511,164.58171,1,46
49.079945,0.7511,164.58171,,
49.079945,0.7511,164.58171,1,47
49.079945,0.7511,164.58171,,
49.079945,0.7511,164.58171,1,48
49.079945,0.7511,164.58171,,
49.079945,0.7511,164.58171,1,49
49.079945,0.7511,164.58171,,
49.079945,0.7511,164.58171,1,50
49.079945,0.7511,164.58171,,
49.079945,0.7511,164.58171,1,51
49.079945,0.7511,164.58171,,
49.079945,0.7511,164.58171,1,52
49.079945,0.7511,164.58171,,
49.079945,0.7511,164.58171,1,53
49.079945,0.7511,164.58171,,
49.079945,0.7511,164.58171,1,54
49.079945,0.7511,164.38173,,
49.079945,0.7511,164.38173,1,55
49.079945,0.7511,164.38173,,
49.079945,0.7511,164.38173,1,56
49.13923,0.75110006,164.93736,,
49.13923,0.75110006,164.93736,1,57
48.462402,0.75110006,164.75887,,
48.462402,0.75110006,164.75887,1,58
48.075645,0.7511,164.65686,,
48.075645,0.7511,164.65686,1,59
48.075645,0.7511,164.65686,,
48.075645,0.7511,164.65686,1,60
48.075645,0.7511,164.65686,,
48.075645,0.7511,164.65686,1,61
48.075645,0.7511,164.65686,,
48.075645,0.7511,164.65686,1,62
48.075645,0.7511,164.65686,,
48.075645,0.7511,164.65686,1,63
48.075645,0.7511,164.65686,,
48.075645,0.7511,164.65686,1,64
48.075645,0.7511,164.65686,,
48.075645,0.7511,164.65686,1,65
48.075645,0.7511,164.65686,,
48.075645,0.7511,164.65686,1,66
48.075645,0.7511,164.65686,,
48.075645,0.7511,164.65686,1,67
